UNIFEI,1.13
Unisinos,1.06
PUCPR,0.8
UFRGS,0.8
UFBA,0.73
ICMC/USP,0.4
PUC-Rio,0.4
UECE,0.4
UFPA,0.4
UFV,0.4
UFMS,0.33
UNICAMP,0.33
