ICRA,ICRA,3
IROS,IROS,3
Robotics: Science and Systems,RSS,3
IEEE Trans. Robotics,IEEE Trans. Robotics,4
Sci. Robotics,Science Robotics,4
I. J. Robotics Res.,Intern. J. of Robotics Research,5
Robotics Auton. Syst.,Robotics & Autonomous Syst.,5
J. Field Robotics,J. Field Robotics,5
Robotica,Robotica,5
IEEE Robotics Autom. Mag.,IEEE Robotics & Automation Mag.,6
IEEE Robotics Autom. Lett.,IEEE RA-L,7
J. Robotics,Journal of Robotics,7
Int. J. Soc. Robotics,International Journal of Social Robotics,7
