IEEE Robotics & Automation Magazine,2
IEEE/CAA Journal of Automatica Sinica,1
International Journal of Robotics Research,1
Robotics and Autonomous Systems,0
IEEE Robotics and Automation Letters,0
IEEE Transactions on Robotics,0
International Journal of Social Robotics,0
Journal of Robotics,0
Robotica,0
Science Robotics,0
