2020,J. Intelligent & Robotic Syst.,"Dynamic Leader Allocation in Multi-robot Systems Based on Nonlinear Model Predictive Control.",Augusto de Holanda B. M. Tavares; Sarah Pontes Madruga; Alisson V. Brito; Tiago P. Nascimento,https://doi.org/10.1007/s10846-019-01064-4,null,J,no_arxiv,0
2020,J. Intelligent & Robotic Syst.,"Introduction to the Robotica 2018 Special Issue.",Tiago P. Nascimento; Alisson V. Brito; Esther Luna Colombini; Luiz Marcos Garcia Gonçalves,https://doi.org/10.1007/s10846-019-01135-6,null,J,no_arxiv,0
